Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Gyro1_X,Gyro1_Y,Gyro1_Z,Gyro2_X,Gyro2_Y,Gyro2_Z,label
116736,7.42,0.89,6.66,-8.07,0.05,3.91,-0.04,-0.05,0.01,-0.04,0.02,-0.01,0
1660342,7.2,0.61,6.96,-6.52,-0.59,5.74,-0.05,-0.03,0.01,-0.03,0.02,-0.02,0
1963222,8.15,-1.1,5.84,-5.72,-1.66,6.44,0.17,-0.05,0.14,-0.19,-0.05,0.21,1
1577924,5.49,-0.83,8.26,-6.37,-3.1,5.4,-0.03,-0.04,0.01,-0.05,0.01,-0.01,0
212146,8.85,-0.29,4.75,-2.27,1.26,8.2,-0.06,-0.05,0.0,-0.04,0.01,-0.01,0
1290074,4.99,-1.55,8.51,-7.05,-4.58,3.47,-0.03,-0.08,0.02,-0.01,-0.04,-0.02,0
1838,6.11,-1.68,7.78,-6.46,-3.08,5.23,-0.05,-0.03,0.0,-0.03,0.0,-0.03,0
187786,5.66,-2.14,7.96,-7.84,-5.41,0.38,-0.05,-0.05,0.01,-0.04,0.02,-0.01,0
2243764,9.12,-1.47,4.14,-3.32,-1.37,7.83,-0.05,-0.04,0.01,-0.04,0.01,-0.01,0
1856846,9.74,-1.66,2.49,-3.79,-0.46,7.71,-0.04,-0.03,0.01,-0.04,0.01,-0.01,1
1543824,7.91,0.0,6.27,-6.44,-1.96,5.69,-0.05,-0.01,0.0,-0.03,0.05,-0.04,1
1165026,5.56,1.87,7.99,-8.42,-1.74,3.06,-0.05,-0.07,0.01,-0.02,-0.02,-0.03,0
986388,8.68,-0.4,5.2,-4.16,-1.99,7.36,-0.03,-0.05,0.01,-0.05,0.02,-0.01,1
1295338,7.72,-0.74,6.26,-4.38,-1.37,7.26,-0.04,-0.07,0.0,-0.02,0.01,-0.0,1
63550,9.67,-2.89,1.74,-0.54,-0.82,8.62,-0.05,-0.05,0.01,-0.03,0.0,-0.03,0
81412,9.92,-2.38,0.78,1.52,0.81,8.56,-0.04,-0.03,0.01,-0.03,0.01,-0.02,0
585658,6.14,0.66,7.86,-6.95,-2.76,4.76,-0.04,-0.06,0.01,-0.03,0.01,0.0,0
1301036,4.98,-1.11,8.46,-8.72,-3.34,0.59,-0.04,-0.07,0.01,-0.05,-0.04,-0.02,0
1485766,7.67,0.19,6.39,-6.7,-1.88,5.45,-0.03,-0.05,0.03,-0.07,0.0,-0.01,1
2104508,8.7,-0.42,5.22,-4.28,-1.2,7.49,-0.05,-0.03,0.03,-0.06,0.02,-0.01,1
756998,5.16,-0.01,8.51,-7.52,-2.4,4.32,-0.06,-0.06,-0.01,-0.03,-0.05,-0.04,0
1167462,5.77,1.83,7.92,-8.32,-1.67,3.25,-0.06,-0.04,0.0,-0.02,0.0,-0.04,0
783790,2.87,-0.54,9.4,-8.76,-2.27,1.89,-0.05,-0.04,0.01,-0.03,0.03,-0.01,0
52180,9.95,-2.44,0.77,1.16,0.48,8.63,-0.04,-0.04,0.01,-0.02,0.0,-0.01,0
160584,6.27,3.27,6.96,-9.39,-1.27,-0.52,-0.05,-0.03,0.02,-0.05,0.01,-0.02,0
32288,4.52,0.84,8.71,-7.98,-1.45,3.85,-0.08,-0.34,0.04,0.04,-0.16,0.01,0
888136,7.27,0.23,6.9,-7.48,-4.23,3.3,-0.05,-0.15,-0.12,-0.08,-0.01,0.0,0
602312,8.32,-0.63,5.61,-5.01,-0.59,7.05,-0.05,-0.04,0.0,-0.04,0.01,-0.01,1
